Date,tmax,tmin,prcp,tavg
01-01-2007,45,31,0,38
02-01-2007,42,29,0,35.5
03-01-2007,49,33,0,41
04-01-2007,50,38,0,44
05-01-2007,53,38,0,45.5
06-01-2007,41,31,0,36
07-01-2007,43,26,0.04,34.5
08-01-2007,38,27,0,32.5
09-01-2007,30,21,0,25.5
10-01-2007,34,17,0,25.5
11-01-2007,45,34,0.06,39.5
12-01-2007,41,29,0.01,35
13-01-2007,30,21,0,25.5
14-01-2007,32,26,0.14,29
15-01-2007,31,17,0.2,24
16-01-2007,22,10,0,16
17-01-2007,21,5,0,13
18-01-2007,30,21,0.02,25.5
19-01-2007,27,15,0,21
20-01-2007,22,8,0,15
21-01-2007,31,20,0.31,25.5
22-01-2007,32,24,0,28
23-01-2007,26,21,0,23.5
24-01-2007,28,19,0,23.5
25-01-2007,21,13,0,17
26-01-2007,42,19,0,30.5
27-01-2007,34,19,0.01,26.5
28-01-2007,22,9,0.02,15.5
29-01-2007,23,7,0.05,15
30-01-2007,23,8,0,15.5
31-01-2007,18,1,0,9.5
01-02-2007,23,8,0,15.5
02-02-2007,11,4,0,7.5
03-02-2007,8,-7,0,0.5
04-02-2007,-1,-10,0,-5.5
05-02-2007,3,-11,0,-4
06-02-2007,8,-7,0.03,0.5
07-02-2007,16,-2,0,7
08-02-2007,17,0,0,8.5
09-02-2007,17,3,0,10
10-02-2007,16,1,0,8.5
11-02-2007,22,7,0.01,14.5
12-02-2007,27,22,0.13,24.5
13-02-2007,25,13,0.28,19
14-02-2007,19,7,0.02,13
15-02-2007,17,2,0,9.5
16-02-2007,18,-2,0,8
17-02-2007,28,16,0,22
18-02-2007,22,12,0,17
19-02-2007,43,14,0,28.5
20-02-2007,41,27,0,34
21-02-2007,47,24,0,35.5
22-02-2007,41,29,0,35
23-02-2007,30,24,0.03,27
24-02-2007,31,24,0.36,27.5
25-02-2007,37,30,0.41,33.5
26-02-2007,34,30,0.03,32
27-02-2007,36,31,0.01,33.5
28-02-2007,35,31,0.05,33
01-03-2007,38,33,0.42,35.5
02-03-2007,33,25,0.04,29
03-03-2007,28,22,0,25
04-03-2007,31,16,0,23.5
05-03-2007,31,15,0,23
06-03-2007,22,9,0.12,15.5
07-03-2007,26,18,0,22
08-03-2007,33,12,0,22.5
09-03-2007,48,29,0.29,38.5
10-03-2007,49,36,0,42.5
11-03-2007,51,29,0,40
12-03-2007,58,40,0.02,49
13-03-2007,72,47,0,59.5
14-03-2007,61,34,0.05,47.5
15-03-2007,37,26,0,31.5
16-03-2007,34,23,0,28.5
17-03-2007,35,23,0,29
18-03-2007,41,24,0,32.5
19-03-2007,56,35,0,45.5
20-03-2007,38,27,0,32.5
21-03-2007,63,34,0.96,48.5
22-03-2007,64,45,0.51,54.5
23-03-2007,51,38,0.02,44.5
24-03-2007,60,42,0,51
25-03-2007,79,40,0,59.5
26-03-2007,80,63,0,71.5
27-03-2007,67,41,0.02,54
28-03-2007,48,39,0.32,43.5
