Date,tmax,tmin,prcp
01-01-2007,45,31,0
02-01-2007,42,29,0
03-01-2007,49,33,0
04-01-2007,50,38,0
05-01-2007,53,38,0
06-01-2007,41,31,0
07-01-2007,43,26,0.04
08-01-2007,38,27,0
09-01-2007,30,21,0
10-01-2007,34,17,0
11-01-2007,45,34,0.06
12-01-2007,41,29,0.01
13-01-2007,30,21,0
14-01-2007,32,26,0.14
15-01-2007,31,17,0.2
16-01-2007,22,10,0
17-01-2007,21,5,0
18-01-2007,30,21,0.02
19-01-2007,27,15,0
20-01-2007,22,8,0
21-01-2007,31,20,0.31
22-01-2007,32,24,0
23-01-2007,26,21,0
24-01-2007,28,19,0
25-01-2007,21,13,0
26-01-2007,42,19,0
27-01-2007,34,19,0.01
28-01-2007,22,9,0.02
29-01-2007,23,7,0.05
30-01-2007,23,8,0
31-01-2007,18,1,0
01-02-2007,23,8,0
02-02-2007,11,4,0
03-02-2007,8,-7,0
04-02-2007,-1,-10,0
05-02-2007,3,-11,0
06-02-2007,8,-7,0.03
07-02-2007,16,-2,0
08-02-2007,17,0,0
09-02-2007,17,3,0
10-02-2007,16,1,0
11-02-2007,22,7,0.01
12-02-2007,27,22,0.13
13-02-2007,25,13,0.28
14-02-2007,19,7,0.02
15-02-2007,17,2,0
16-02-2007,18,-2,0
17-02-2007,28,16,0
18-02-2007,22,12,0
19-02-2007,43,14,0
20-02-2007,41,27,0
21-02-2007,47,24,0
22-02-2007,41,29,0
23-02-2007,30,24,0.03
24-02-2007,31,24,0.36
25-02-2007,37,30,0.41
26-02-2007,34,30,0.03
27-02-2007,36,31,0.01
28-02-2007,35,31,0.05
01-03-2007,38,33,0.42
02-03-2007,33,25,0.04
03-03-2007,28,22,0
04-03-2007,31,16,0
05-03-2007,31,15,0
06-03-2007,22,9,0.12
07-03-2007,26,18,0
08-03-2007,33,12,0
09-03-2007,48,29,0.29
10-03-2007,49,36,0
11-03-2007,51,29,0
12-03-2007,58,40,0.02
13-03-2007,72,47,0
14-03-2007,61,34,0.05
15-03-2007,37,26,0
16-03-2007,34,23,0
17-03-2007,35,23,0
18-03-2007,41,24,0
19-03-2007,56,35,0
20-03-2007,38,27,0
21-03-2007,63,34,0.96
22-03-2007,64,45,0.51
23-03-2007,51,38,0.02
24-03-2007,60,42,0
25-03-2007,79,40,0
26-03-2007,80,63,0
27-03-2007,67,41,0.02
28-03-2007,48,39,0.32
29-03-2007,54,40,0
30-03-2007,45,39,0.04
31-03-2007,50,40,0.4
01-04-2007,60,46,0
02-04-2007,61,42,0.13
03-04-2007,54,38,1.51
04-04-2007,38,27,0
05-04-2007,38,24,0
06-04-2007,34,22,0
07-04-2007,30,21,0
08-04-2007,37,25,0
09-04-2007,40,30,0
10-04-2007,44,26,0
11-04-2007,39,32,0.64
12-04-2007,41,34,0
13-04-2007,51,33,0
14-04-2007,47,34,0
15-04-2007,54,32,0
16-04-2007,59,34,0
17-04-2007,51,36,0.09
18-04-2007,41,39,0.09
19-04-2007,56,39,0
20-04-2007,64,38,0
21-04-2007,70,40,0
22-04-2007,82,54,0
23-04-2007,69,49,0.27
24-04-2007,60,43,0.02
25-04-2007,47,41,0.51
26-04-2007,46,41,0.37
27-04-2007,50,44,0
28-04-2007,72,42,0
29-04-2007,83,46,0
30-04-2007,54,45,0.39
01-05-2007,65,45,0.32
02-05-2007,52,40,0
03-05-2007,56,43,0
04-05-2007,58,45,0
05-05-2007,58,46,0.01
06-05-2007,61,43,0
07-05-2007,71,48,0
08-05-2007,82,59,0
09-05-2007,71,49,0.13
10-05-2007,75,47,0
11-05-2007,68,46,0
12-05-2007,55,42,0
13-05-2007,58,42,0
14-05-2007,89,53,0
15-05-2007,78,47,1
16-05-2007,59,42,0.29
17-05-2007,58,42,0
18-05-2007,69,45,0
19-05-2007,80,43,0
20-05-2007,47,39,0
21-05-2007,62,44,0
22-05-2007,79,51,0
23-05-2007,83,67,0
24-05-2007,86,57,0
25-05-2007,63,51,0
26-05-2007,65,50,0.21
27-05-2007,74,55,0
28-05-2007,71,49,0
29-05-2007,80,56,0
30-05-2007,83,62,0
31-05-2007,79,63,0.03
01-06-2007,74,60,0.62
02-06-2007,79,59,0.01
03-06-2007,73,56,0.4
04-06-2007,64,55,0.89
05-06-2007,59,47,0
06-06-2007,68,46,0
07-06-2007,87,64,0.3
08-06-2007,73,56,0
09-06-2007,72,51,0
10-06-2007,77,55,0
11-06-2007,79,57,0
12-06-2007,76,58,0
13-06-2007,80,60,0
14-06-2007,76,61,0
15-06-2007,84,61,0
16-06-2007,90,68,0
17-06-2007,80,67,0
18-06-2007,90,68,1.37
19-06-2007,79,66,0
20-06-2007,85,61,0
21-06-2007,74,62,0
22-06-2007,71,58,0
23-06-2007,75,58,0
24-06-2007,73,59,0
25-06-2007,80,62,0
26-06-2007,87,69,0
27-06-2007,88,70,0.05
28-06-2007,71,54,0
29-06-2007,67,52,0
30-06-2007,77,50,0
01-07-2007,67,58,0
02-07-2007,72,53,0
03-07-2007,79,63,0.2
04-07-2007,84,67,0
05-07-2007,87,67,0.1
06-07-2007,79,62,0
07-07-2007,89,68,0
08-07-2007,94,74,0
09-07-2007,84,67,0.15
10-07-2007,88,65,0.1
11-07-2007,77,56,0
12-07-2007,78,60,0
13-07-2007,70,59,0
14-07-2007,81,59,0.21
15-07-2007,80,58,0
16-07-2007,72,60,0.03
17-07-2007,77,66,0.24
18-07-2007,84,69,0
19-07-2007,77,61,0
20-07-2007,71,56,0
21-07-2007,70,56,0
22-07-2007,77,55,0
23-07-2007,80,59,0
24-07-2007,80,68,0
25-07-2007,86,70,0
26-07-2007,82,69,0.16
27-07-2007,80,68,0.21
28-07-2007,77,67,0
29-07-2007,82,64,0
30-07-2007,88,63,0
31-07-2007,88,72,0
01-08-2007,88,73,0
02-08-2007,91,72,0
03-08-2007,84,66,0
04-08-2007,77,64,0.36
05-08-2007,80,64,0.88
06-08-2007,79,68,0.42
07-08-2007,89,73,0.36
08-08-2007,78,68,0
09-08-2007,76,66,0.1
10-08-2007,80,69,0
11-08-2007,85,66,0
12-08-2007,86,67,0.18
13-08-2007,74,63,0
14-08-2007,84,63,0.24
15-08-2007,74,67,0.12
16-08-2007,78,67,0
17-08-2007,76,63,0
18-08-2007,67,59,1.2
19-08-2007,67,61,1.03
20-08-2007,70,65,1.33
21-08-2007,75,65,0.01
22-08-2007,88,68,1.43
23-08-2007,84,70,0.13
24-08-2007,79,67,0.04
25-08-2007,76,62,0.05
26-08-2007,77,58,0
27-08-2007,75,60,0.01
28-08-2007,91,69,0
29-08-2007,81,64,0.03
30-08-2007,72,58,0
31-08-2007,76,55,0
01-09-2007,76,56,0
02-09-2007,84,60,0
03-09-2007,82,69,0
04-09-2007,88,65,0
05-09-2007,91,70,0
06-09-2007,83,73,0.07
07-09-2007,82,62,0.03
08-09-2007,74,58,0
09-09-2007,74,60,0
10-09-2007,60,52,0.7
11-09-2007,68,48,0
12-09-2007,58,45,0
13-09-2007,76,48,0
14-09-2007,66,44,0
15-09-2007,59,40,0
16-09-2007,68,43,0
17-09-2007,72,53,0
18-09-2007,86,65,0
19-09-2007,79,60,0
20-09-2007,69,56,0
21-09-2007,87,58,0.05
22-09-2007,74,53,0
23-09-2007,72,49,0
24-09-2007,88,68,0
25-09-2007,79,56,0.21
26-09-2007,61,50,0
27-09-2007,73,51,0.75
28-09-2007,66,51,0
29-09-2007,71,49,0
30-09-2007,80,56,0.12
01-10-2007,69,56,0.86
02-10-2007,75,57,0.22
03-10-2007,73,56,0
04-10-2007,76,52,0
05-10-2007,82,61,0
06-10-2007,87,69,0
07-10-2007,85,66,0.07
08-10-2007,85,60,0
09-10-2007,73,47,0
10-10-2007,53,46,0.08
11-10-2007,53,45,0
12-10-2007,51,39,0
13-10-2007,60,39,0
14-10-2007,57,47,0.5
15-10-2007,63,52,0.03
16-10-2007,68,57,0.75
17-10-2007,66,50,0.2
18-10-2007,75,59,0.11
19-10-2007,60,54,0.02
20-10-2007,71,48,0
21-10-2007,77,59,0
22-10-2007,67,47,0.1
23-10-2007,57,41,0
24-10-2007,52,43,0
25-10-2007,54,43,0
26-10-2007,58,52,0.02
27-10-2007,56,42,0
28-10-2007,54,37,0
29-10-2007,63,40,0
30-10-2007,67,45,0
31-10-2007,61,44,0
01-11-2007,53,33,0
02-11-2007,56,31,0
03-11-2007,52,37,0
04-11-2007,50,39,0
05-11-2007,51,36,0
06-11-2007,43,35,0
07-11-2007,40,30,0
08-11-2007,48,37,0
09-11-2007,46,34,0
10-11-2007,47,30,0
11-11-2007,53,43,0.04
12-11-2007,62,43,0
13-11-2007,59,32,0
14-11-2007,53,39,0
15-11-2007,38,29,0
16-11-2007,40,26,0
17-11-2007,44,32,0.08
18-11-2007,43,33,0.02
19-11-2007,54,41,0.01
20-11-2007,46,37,0.08
21-11-2007,44,31,0.12
22-11-2007,32,25,0.01
23-11-2007,31,21,0
24-11-2007,39,25,0
25-11-2007,42,32,0
26-11-2007,40,30,0
27-11-2007,34,19,0
28-11-2007,42,18,0
29-11-2007,30,18,0
30-11-2007,33,18,0
01-12-2007,34,15,1
02-12-2007,38,29,0.14
03-12-2007,29,21,0
04-12-2007,29,21,0.3
05-12-2007,29,10,0.06
06-12-2007,23,3,0.07
07-12-2007,30,20,0.02
08-12-2007,20,9,0.01
09-12-2007,26,18,0.01
10-12-2007,31,21,0
11-12-2007,33,27,0.84
12-12-2007,34,20,0
13-12-2007,34,26,0
14-12-2007,26,15,0
15-12-2007,31,21,0.26
16-12-2007,29,16,0
17-12-2007,25,14,0
18-12-2007,35,19,0
19-12-2007,34,21,0
20-12-2007,38,22,0
21-12-2007,37,35,0
22-12-2007,43,36,0.06
23-12-2007,48,13,0.15
24-12-2007,23,18,0
25-12-2007,39,18,0
26-12-2007,43,25,0.01
27-12-2007,36,25,0.08
28-12-2007,34,28,0.39
29-12-2007,30,22,0
30-12-2007,31,22,0.01
31-12-2007,31,15,0
01-01-2008,24,6,0.01
02-01-2008,20,5,0
03-01-2008,22,3,0
04-01-2008,35,21,0
05-01-2008,41,35,0
06-01-2008,52,39,0
07-01-2008,63,38,0.5
08-01-2008,53,36,0.29
09-01-2008,40,31,0
10-01-2008,41,33,0.37
11-01-2008,35,29,0.01
12-01-2008,38,28,0.01
13-01-2008,37,26,0.03
14-01-2008,26,16,0
15-01-2008,26,14,0
16-01-2008,40,21,0
17-01-2008,35,9,0.03
18-01-2008,21,6,0
19-01-2008,6,-5,0
20-01-2008,8,-6,0
21-01-2008,20,5,0.27
22-01-2008,20,7,0.08
23-01-2008,12,3,0.02
24-01-2008,10,-4,0
25-01-2008,18,-1,0.03
26-01-2008,28,18,0.04
27-01-2008,31,13,0
28-01-2008,45,25,0
29-01-2008,46,4,0.18
30-01-2008,9,-4,0
31-01-2008,29,6,0.2
01-02-2008,31,26,0.15
02-02-2008,28,26,0
03-02-2008,32,26,0.06
04-02-2008,36,32,0.33
05-02-2008,35,33,0.17
06-02-2008,33,25,0.76
07-02-2008,28,22,0
08-02-2008,35,22,0.09
09-02-2008,35,13,0.04
10-02-2008,13,-5,0
11-02-2008,12,-4,0
12-02-2008,21,12,0.2
13-02-2008,23,8,0
14-02-2008,28,14,0.04
15-02-2008,21,10,0
16-02-2008,32,6,0
17-02-2008,43,29,1.18
18-02-2008,32,7,0.02
19-02-2008,13,3,0
20-02-2008,17,2,0
21-02-2008,24,1,0
22-02-2008,25,17,0
23-02-2008,32,13,0
24-02-2008,34,14,0
25-02-2008,35,30,0.06
26-02-2008,33,22,0.03
27-02-2008,24,19,0
28-02-2008,25,12,0.01
29-02-2008,38,24,0.18
01-03-2008,32,20,0
02-03-2008,52,32,0
03-03-2008,49,21,0.39
04-03-2008,28,19,0
05-03-2008,33,21,0
06-03-2008,31,21,0
07-03-2008,21,13,0
08-03-2008,24,13,0.08
09-03-2008,27,17,0.01
10-03-2008,31,22,0
11-03-2008,42,22,0
12-03-2008,37,28,0
13-03-2008,52,35,0
14-03-2008,51,33,0
15-03-2008,36,29,0
16-03-2008,34,23,0
17-03-2008,35,29,0.1
18-03-2008,42,34,0.14
19-03-2008,47,36,0
20-03-2008,38,28,0
21-03-2008,33,28,0.97
22-03-2008,35,28,0.07
23-03-2008,40,22,0
24-03-2008,36,19,0
25-03-2008,52,36,0
26-03-2008,50,32,0
27-03-2008,45,30,0.16
28-03-2008,35,26,0
29-03-2008,39,22,0
30-03-2008,41,35,0
31-03-2008,58,36,1.19
01-04-2008,44,30,0
02-04-2008,49,25,0
03-04-2008,46,31,0.26
04-04-2008,51,38,0.02
05-04-2008,64,40,0
06-04-2008,56,40,0
07-04-2008,53,41,0
08-04-2008,42,37,0.84
09-04-2008,48,37,0
10-04-2008,42,37,1.66
11-04-2008,58,40,0.06
12-04-2008,41,33,0.07
13-04-2008,39,34,0
14-04-2008,46,31,0
15-04-2008,59,34,0
16-04-2008,75,45,0
17-04-2008,62,42,0
18-04-2008,50,41,0
19-04-2008,57,43,0
20-04-2008,63,42,0
21-04-2008,63,40,0
22-04-2008,70,48,0
23-04-2008,68,47,0
24-04-2008,63,50,0.31
25-04-2008,78,45,1.2
26-04-2008,55,38,0
27-04-2008,50,38,0
28-04-2008,44,35,0
29-04-2008,42,33,0
30-04-2008,50,31,0
01-05-2008,59,43,0
02-05-2008,70,45,0.45
03-05-2008,55,46,0.07
04-05-2008,63,38,0
05-05-2008,76,48,0
06-05-2008,73,44,0
07-05-2008,70,43,0.05
08-05-2008,58,41,0
09-05-2008,56,41,0
10-05-2008,54,38,0
11-05-2008,58,45,0.25
12-05-2008,49,40,0
13-05-2008,68,40,0
14-05-2008,62,44,0
15-05-2008,58,41,0
16-05-2008,72,42,0
17-05-2008,71,52,0.01
18-05-2008,56,42,0
19-05-2008,55,38,0
20-05-2008,65,42,0.05
21-05-2008,66,42,0
22-05-2008,54,41,0
23-05-2008,53,43,0
24-05-2008,61,44,0
25-05-2008,77,42,0.58
26-05-2008,81,41,0.06
27-05-2008,47,40,0
28-05-2008,57,40,0
29-05-2008,64,43,0.01
30-05-2008,77,49,1.39
31-05-2008,77,53,0
01-06-2008,66,50,0
02-06-2008,80,53,0
03-06-2008,56,50,0
04-06-2008,55,50,0.02
05-06-2008,72,52,1.85
06-06-2008,86,60,0.07
07-06-2008,86,64,4.93
08-06-2008,76,61,2.25
09-06-2008,73,63,0.09
10-06-2008,78,60,0.09
11-06-2008,66,51,0
12-06-2008,78,61,0.94
13-06-2008,77,65,0.47
14-06-2008,83,59,0.25
15-06-2008,80,59,0
16-06-2008,68,58,0
17-06-2008,75,55,0
18-06-2008,70,52,0
19-06-2008,79,52,0
20-06-2008,83,60,0.09
21-06-2008,80,61,0
22-06-2008,74,58,0.36
23-06-2008,70,54,0
24-06-2008,80,58,0
25-06-2008,81,63,0
26-06-2008,86,70,0
27-06-2008,82,68,0.34
28-06-2008,79,61,0.24
29-06-2008,73,59,0.28
30-06-2008,72,60,0
01-07-2008,81,59,0
02-07-2008,82,58,0.3
03-07-2008,64,55,0
04-07-2008,71,50,0
05-07-2008,74,52,0
06-07-2008,83,57,0
07-07-2008,86,69,1.29
08-07-2008,82,68,0.51
09-07-2008,80,64,0
10-07-2008,82,64,0.09
11-07-2008,78,64,0.31
12-07-2008,79,63,0.36
13-07-2008,79,61,0
14-07-2008,80,62,0
15-07-2008,88,63,0
