Date,tmax,tmin,prcp,tavg
01-01-2009,75,58,0,66.5
02-01-2009,75,60,0,67.5
03-01-2009,77,56,0,66.5
04-01-2009,78,68,0,73
05-01-2009,79,61,0,70
06-01-2009,80,62,0,71
07-01-2009,85,62,0.03,73.5
08-01-2009,74,53,0,63.5
09-01-2009,74,51,0,62.5
10-01-2009,76,54,0,65
11-01-2009,80,55,0,67.5
12-01-2009,79,57,0,68
13-01-2009,81,59,0.07,70
14-01-2009,71,51,0,61
15-01-2009,69,52,0,60.5
16-01-2009,70,54,0.01,62
17-01-2009,71,48,0,59.5
18-01-2009,75,51,0,63
19-01-2009,77,56,0,66.5
20-01-2009,67,46,0,56.5
21-01-2009,56,36,0,46
22-01-2009,67,35,0,51
23-01-2009,72,46,0,59
24-01-2009,74,49,0,61.5
25-01-2009,77,50,0,63.5
26-01-2009,76,55,0,65.5
27-01-2009,79,68,0,73.5
28-01-2009,80,69,0,74.5
29-01-2009,85,62,0,73.5
30-01-2009,77,49,0,63
31-01-2009,63,43,0,53
01-02-2009,73,48,0.01,60.5
02-02-2009,79,59,0.1,69
03-02-2009,70,48,0,59
04-02-2009,66,42,0,54
05-02-2009,58,33,0,45.5
06-02-2009,68,42,0,55
07-02-2009,72,60,0,66
08-02-2009,73,63,0,68
09-02-2009,74,63,0,68.5
10-02-2009,78,65,0,71.5
11-02-2009,80,68,0,74
12-02-2009,86,63,0,74.5
13-02-2009,81,62,0,71.5
14-02-2009,84,62,0,73
15-02-2009,81,62,0.03,71.5
16-02-2009,74,59,0,66.5
17-02-2009,72,51,0,61.5
18-02-2009,77,59,0,68
19-02-2009,84,61,0,72.5
20-02-2009,68,49,0,58.5
21-02-2009,71,47,0,59
22-02-2009,79,54,0,66.5
23-02-2009,76,58,0,67
24-02-2009,75,57,0,66
25-02-2009,74,62,0,68
26-02-2009,76,65,0,70.5
27-02-2009,76,64,0,70
28-02-2009,79,58,0,68.5
01-03-2009,86,54,0,70
02-03-2009,66,46,0,56
03-03-2009,68,40,0,54
04-03-2009,71,46,0,58.5
05-03-2009,72,59,0,65.5
06-03-2009,76,65,0,70.5
07-03-2009,77,66,0,71.5
08-03-2009,79,64,0,71.5
09-03-2009,81,57,0,69
10-03-2009,80,59,0,69.5
11-03-2009,79,60,0,69.5
12-03-2009,80,64,0,72
13-03-2009,81,67,0,74
14-03-2009,83,70,0,76.5
15-03-2009,83,66,0,74.5
16-03-2009,83,67,0,75
17-03-2009,84,66,0.08,75
18-03-2009,75,67,0.91,71
19-03-2009,77,64,0,70.5
20-03-2009,79,63,0.11,71
21-03-2009,74,62,0.28,68
22-03-2009,76,66,0,71
23-03-2009,76,67,0,71.5
24-03-2009,77,67,0,72
25-03-2009,78,66,0,72
26-03-2009,77,68,0,72.5
27-03-2009,80,69,0,74.5
28-03-2009,83,73,0,78
29-03-2009,84,70,0,77
30-03-2009,80,58,0,69
31-03-2009,86,72,0.09,79
01-04-2009,85,74,0,79.5
02-04-2009,89,72,0,80.5
03-04-2009,86,74,0,80
04-04-2009,83,69,0,76
05-04-2009,87,73,0,80
06-04-2009,93,69,0,81
07-04-2009,71,54,0,62.5
08-04-2009,69,47,0,58
09-04-2009,74,49,0,61.5
10-04-2009,81,59,0,70
11-04-2009,90,67,0,78.5
12-04-2009,83,64,0,73.5
